name,mass (g),GeoLocation
Dhofar 1430,134,"(18.569440, 54.240000)"
Dhofar 1431,189,"(18.588330, 54.218060)"
Dhofar 1432,76,"(19.285830, 54.737500)"
Dhofar 1433,44790,"(18.433330, 54.100000)"
Dhofar 1434,42,"(18.356750, 54.025920)"
Dhofar 1435,12,"(18.248620, 54.003630)"
Dhofar 1436,24,"(18.423330, 54.423330)"
Dhofar 1437,324,"(18.926670, 54.566670)"
Dhofar 1438,54,"(19.166670, 54.673330)"
Dhofar 1439,5132,"(18.583330, 54.455000)"
Dhofar 144,630,"(18.415330, 54.182330)"
Dhofar 1440,30,"(18.338330, 54.205000)"
Dhofar 1441,268,"(18.436000, 54.483830)"
Dhofar 1442,107,"(19.291670, 54.573330)"
Dhofar 1443,37,"(18.416670, 54.425000)"
Dhofar 1445,442,"(19.436970, 54.706650)"
Dhofar 1446,199,"(19.451400, 54.652400)"
Dhofar 1447,49,"(18.616670, 54.183330)"
Dhofar 1448,3110,"(19.350000, 54.800000)"
Dhofar 1449,1959,"(19.230000, 54.880000)"
Dhofar 145,666,"(18.404000, 54.241500)"
Dhofar 1450,5,"(19.263970, 54.723620)"
Dhofar 1451,570,"(19.213030, 54.620770)"
Dhofar 1452,163,"(19.016020, 54.367830)"
Dhofar 1453,402,"(18.998650, 54.393820)"
Dhofar 1455,489,"(18.976550, 54.403820)"
Dhofar 1456,90,"(18.987970, 54.418250)"
Dhofar 1457,11,"(18.998420, 54.416230)"
Dhofar 1458,428,"(18.992250, 54.417750)"
Dhofar 1459,50,"(19.018820, 54.373520)"
Dhofar 146,8795,"(18.343670, 54.415670)"
Dhofar 1460,41,"(19.018200, 54.372300)"
Dhofar 1461,45,"(19.019350, 54.369030)"
Dhofar 1462,401,"(18.349550, 54.250130)"
Dhofar 1463,24,"(18.452780, 54.161550)"
Dhofar 1464,69,"(18.568900, 54.168080)"
Dhofar 1465,237,"(18.569050, 54.171130)"
Dhofar 1466,268,"(18.571280, 54.171050)"
Dhofar 1467,1305,"(18.566150, 54.157950)"
Dhofar 1468,66,"(18.566150, 54.157950)"
Dhofar 1469,110,"(18.561770, 54.172170)"
Dhofar 147,200,"(18.435830, 54.235500)"
Dhofar 1470,52,"(18.566720, 54.169670)"
Dhofar 1471,760,"(18.566680, 54.160380)"
Dhofar 1472,1064,"(18.574330, 54.149370)"
Dhofar 1473,131,"(18.605070, 54.168850)"
Dhofar 1474,389,"(18.610570, 54.171550)"
Dhofar 1475,1039,"(18.603100, 54.177750)"
Dhofar 1476,29,"(18.988650, 54.403130)"
Dhofar 1479,132,"(18.202500, 54.051670)"
Dhofar 148,5432,"(18.321670, 54.481000)"
Dhofar 1480,58,"(19.166120, 54.672430)"
Dhofar 1481,28,"(19.165630, 54.669980)"
Dhofar 1482,3,"(19.166170, 54.670300)"
Dhofar 1483,4,"(19.167970, 54.672200)"
Dhofar 1484,79,"(19.166930, 54.671820)"
Dhofar 1485,5,"(19.165250, 54.672470)"
Dhofar 1486,12,"(19.168130, 54.671570)"
Dhofar 1487,16,"(19.165930, 54.672370)"
Dhofar 1488,4,"(19.168330, 54.671550)"
Dhofar 1489,26,"(19.161680, 54.674520)"
Dhofar 149,216,"(18.316500, 54.319330)"
Dhofar 1490,309,"(18.797830, 54.404370)"
Dhofar 1491,256,"(18.743250, 54.376900)"
Dhofar 1492,510,"(18.775830, 54.454330)"
Dhofar 1493,14000,"(18.673780, 54.450170)"
Dhofar 1494,1400,"(18.685170, 54.442030)"
Dhofar 1495,2300,"(18.667030, 54.434870)"
Dhofar 1496,1000,"(18.687120, 54.420000)"
Dhofar 1497,1856,"(18.731680, 54.397020)"
Dhofar 1498,55,"(19.257120, 54.898700)"
Dhofar 1499,68,"(19.257420, 54.858120)"
Dhofar 150,356,"(19.246330, 54.706670)"
Dhofar 1500,2448,"(19.182580, 54.594500)"
Dhofar 1501,11,"(18.805220, 54.353080)"
Dhofar 1502,17,"(18.800500, 54.351330)"
Dhofar 1503,17,"(18.723450, 54.315500)"
Dhofar 1504,208,"(18.223800, 54.246300)"
Dhofar 1505,222,"(18.158970, 54.268920)"
Dhofar 1506,362,"(18.160300, 54.177170)"
Dhofar 1507,2400,"(18.680380, 54.147220)"
Dhofar 1508,1645,"(18.621300, 54.436420)"
Dhofar 1509,49,"(18.623720, 54.287920)"
Dhofar 151,79,"(19.101170, 54.828000)"
Dhofar 1510,119,"(18.634500, 54.271920)"
Dhofar 1511,17973,"(18.639880, 54.248000)"
Dhofar 1513,3782,"(19.337660, 54.532930)"
Dhofar 1514,1749,"(18.338610, 54.389440)"
Dhofar 1515,1450,"(18.525330, 54.617170)"
Dhofar 1516,1134,"(18.408670, 54.595330)"
Dhofar 1517,1064,"(18.926330, 54.412830)"
Dhofar 1518,450,"(18.732000, 54.384500)"
Dhofar 1519,388,"(18.461170, 54.366330)"
Dhofar 152,554,"(19.110830, 54.810170)"
Dhofar 1520,1490,"(18.684500, 54.539670)"
Dhofar 1521,1940,"(18.401670, 54.547170)"
Dhofar 1522,625,"(18.671330, 54.681670)"
Dhofar 1523,234,"(18.351670, 54.240560)"
Dhofar 1524,4652,"(18.511330, 54.607830)"
Dhofar 1525,6476,"(18.776330, 54.396330)"
Dhofar 1526,71,"(19.567550, 54.954150)"
Dhofar 1527,43,"(19.389500, 54.467000)"
Dhofar 1528,213,"(18.468830, 54.174830)"
Dhofar 1529,175,"(18.205000, 54.297830)"
Dhofar 153,1025,"(19.110670, 54.816330)"
Dhofar 1530,2118,"(18.219170, 54.315330)"
Dhofar 1531,2100,"(18.219170, 54.315330)"
Dhofar 1532,487,"(19.009500, 54.502170)"
Dhofar 1533,341,"(18.351170, 54.532000)"
Dhofar 1534,3045,"(18.184670, 54.589170)"
Dhofar 1535,2008,"(18.515000, 54.105500)"
Dhofar 1536,176,"(19.219500, 54.921330)"
Dhofar 1537,48,"(18.528670, 54.642000)"
Dhofar 1538,231,"(18.877170, 54.367500)"
Dhofar 1539,1614,"(18.266670, 54.425000)"
Dhofar 154,1045,"(19.117500, 54.826830)"
Dhofar 1540,2481,"(18.638670, 54.723830)"
Dhofar 1541,398,"(18.627500, 54.742500)"
Dhofar 1542,500,"(18.174170, 54.281330)"
Dhofar 1543,1734,"(18.222000, 54.317830)"
Dhofar 1544,2808,"(18.363670, 54.565330)"
Dhofar 1545,1013,"(18.574500, 54.590330)"
Dhofar 1546,119,"(18.534500, 54.640000)"
Dhofar 1547,380,"(18.585000, 54.280000)"
Dhofar 1548,4070,"(18.647000, 54.175500)"
Dhofar 1549,67,"(18.430330, 54.237170)"
Dhofar 155,552,"(19.127500, 54.775330)"
Dhofar 1550,624,"(18.590830, 54.543000)"
Dhofar 1551,451,"(18.633330, 54.347500)"
Dhofar 1552,454,"(18.764500, 54.322170)"
Dhofar 1553,1006,"(18.850330, 54.384500)"
Dhofar 1554,3954,"(18.666670, 54.150830)"
Dhofar 1555,605,"(18.647170, 54.528330)"
Dhofar 1556,1722,"(18.728830, 54.577170)"
Dhofar 1557,432,"(18.460500, 54.658000)"
Dhofar 1558,11400,"(18.393170, 54.664330)"
Dhofar 156,1780,"(19.146500, 54.647830)"
Dhofar 1562,7550,"(18.926000, 54.398880)"
Dhofar 1563,70,"(18.454280, 54.436580)"
Dhofar 1564,26,"(18.696170, 54.370000)"
Dhofar 1565,43000,"(18.273500, 54.213670)"
Dhofar 1566,605,"(18.242330, 54.106500)"
Dhofar 1567,341,"(18.962170, 54.189670)"
Dhofar 1568,1460,"(18.883330, 54.683830)"
Dhofar 1569,345,"(18.648670, 54.430830)"
Dhofar 157,5300,"(19.088330, 54.792670)"
Dhofar 1570,948,"(18.687830, 54.412170)"
Dhofar 1571,154,"(18.453330, 54.166670)"
Dhofar 1575,2800,"(18.533330, 54.133330)"
Dhofar 1576,7700,"(18.516670, 54.233330)"
Dhofar 1577,530,"(19.287200, 54.635970)"
Dhofar 1578,231,"(19.553870, 54.030530)"
Dhofar 1579,314,"(19.295280, 54.892780)"
Dhofar 158,70,"(19.373060, 54.762500)"
Dhofar 1580,1503,"(18.567830, 54.426830)"
Dhofar 1581,488,"(18.486830, 54.350330)"
Dhofar 1582,276,"(19.369500, 54.538170)"
Dhofar 1583,510,"(18.497670, 54.330170)"
Dhofar 1584,194,"(18.420830, 54.428000)"
Dhofar 1585,256,"(18.783830, 54.420170)"
Dhofar 1586,78,"(19.170170, 54.568670)"
Dhofar 1587,36,"(19.057670, 54.545670)"
Dhofar 1588,1224,"(18.993170, 54.279330)"
Dhofar 1589,360,"(18.672670, 54.429170)"
Dhofar 159,315,"(19.264440, 54.818610)"
Dhofar 1590,996,"(18.951670, 54.281170)"
Dhofar 1591,556,"(18.764330, 54.387000)"
Dhofar 1592,274,"(18.918000, 54.353830)"
Dhofar 1593,1254,"(18.935830, 54.319500)"
Dhofar 1594,176,"(18.989500, 54.434170)"
Dhofar 1595,130,"(19.323000, 54.537170)"
Dhofar 1596,110,"(18.321170, 54.199500)"
Dhofar 1597,4558,"(18.961330, 54.368500)"
Dhofar 1598,766,"(18.559330, 54.494670)"
Dhofar 1599,240,"(18.881330, 54.398670)"
Dhofar 160,654,"(19.258890, 54.838330)"
Dhofar 1601,1166,"(19.185000, 54.631000)"
Dhofar 161,2506,"(19.271390, 54.847220)"
Dhofar 1611,1124,"(19.133330, 54.652670)"
Dhofar 1612,124,"(18.583330, 54.133330)"
Dhofar 1613,9,"(18.695420, 54.474250)"
Dhofar 1614,13,"(18.728580, 54.532810)"
Dhofar 1615,130,"(19.355140, 54.869610)"
Dhofar 1619,6,"(18.674580, 54.439950)"
Dhofar 162,1967,"(19.129440, 54.368610)"
Dhofar 1623,890,"(18.451700, 54.206530)"
Dhofar 1624,621,"(18.163580, 54.275420)"
Dhofar 1625,309,"(18.669750, 54.213580)"
Dhofar 1626,223,"(18.311500, 54.128330)"
Dhofar 1627,86,"(19.010750, 54.537430)"
Dhofar 1629,3,"(18.460000, 54.058000)"
Dhofar 163,208,"(19.146110, 54.401110)"
Dhofar 1630,1357,"(18.696670, 54.371670)"
Dhofar 1631,3770,"(18.712000, 54.400330)"
Dhofar 1632,110,"(18.570830, 54.449000)"
Dhofar 1633,88,"(19.142500, 54.769170)"
Dhofar 1634,46,"(18.825830, 54.429500)"
Dhofar 1635,330,"(18.942670, 54.319000)"
Dhofar 1636,1078,"(18.401500, 54.323830)"
Dhofar 1637,44,"(18.966500, 54.281670)"
Dhofar 1638,1248,"(18.406170, 54.313670)"
Dhofar 1639,16,"(18.977000, 54.374670)"
Dhofar 164,911,"(19.027500, 54.680830)"
Dhofar 1640,144,"(18.922830, 54.572830)"
Dhofar 1641,390,"(18.472030, 54.128400)"
Dhofar 1642,1540,"(18.926180, 54.725300)"
Dhofar 1643,122,"(19.289670, 54.550920)"
Dhofar 1644,12,"(18.951080, 54.515060)"
Dhofar 1645,49,"(18.915670, 54.495190)"
Dhofar 1646,67,"(18.936720, 54.476000)"
Dhofar 1647,444,"(19.137030, 54.824780)"
Dhofar 1648,262,"(19.170980, 54.690080)"
Dhofar 1649,143,"(19.045620, 54.581780)"
Dhofar 165,92,"(19.055000, 54.578890)"
Dhofar 1650,930,"(19.058220, 54.571920)"
Dhofar 1651,2170,"(18.992270, 54.471170)"
Dhofar 1652,800,"(18.723970, 54.540600)"
Dhofar 1653,2724,"(18.597900, 54.450620)"
Dhofar 1654,50000,"(18.678770, 54.287600)"
Dhofar 1655,1218,"(18.397780, 54.491280)"
Dhofar 1656,420,"(18.334700, 54.402600)"
Dhofar 1657,883,"(18.360150, 54.394370)"
Dhofar 1658,3150,"(18.359670, 54.407050)"
Dhofar 1659,3695,"(18.360020, 54.409720)"
Dhofar 166,97,"(19.047500, 54.591940)"
Dhofar 1660,256,"(18.886170, 54.469050)"
Dhofar 1661,63,"(18.991400, 54.680270)"
Dhofar 1662,545,"(19.105200, 54.806020)"
Dhofar 1663,422,"(19.139050, 54.873530)"
Dhofar 1664,2266,"(19.179000, 54.932670)"
Dhofar 1665,3687,"(19.172770, 54.922330)"
Dhofar 1666,1300,"(19.180850, 54.924700)"
Dhofar 1668,6,"(18.322000, 54.148000)"
Dhofar 1669,3,"(18.425000, 54.158000)"
Dhofar 167,3636,"(19.058890, 54.615000)"
Dhofar 1670,590,"(18.539580, 54.573580)"
Dhofar 1671,41,"(18.869580, 54.229560)"
Dhofar 1672,7,"(18.732440, 54.379360)"
Dhofar 1673,15,"(18.711220, 54.160306)"
Dhofar 1674,49,"(18.317000, 54.202000)"
Dhofar 1675,168,"(18.259000, 54.029470)"
Dhofar 1676,13,"(19.433820, 54.690430)"
Dhofar 1677,4388,"(19.365180, 54.515650)"
Dhofar 1678,13,"(19.362220, 54.518930)"
Dhofar 1679,184,"(19.372430, 54.523350)"
Dhofar 168,1452,"(19.040560, 54.581670)"
Dhofar 1680,29,"(19.264650, 54.497530)"
Dhofar 1681,153,"(19.270100, 54.497330)"
Dhofar 1682,9,"(19.645700, 54.247530)"
Dhofar 1683,319,"(19.653950, 54.237700)"
Dhofar 1684,200,"(19.619720, 54.148430)"
Dhofar 1685,769,"(19.619770, 54.148070)"
Dhofar 1686,189,"(19.558380, 54.125820)"
Dhofar 1687,395,"(18.090100, 54.087880)"
Dhofar 1688,53,"(18.185350, 54.269000)"
Dhofar 1689,22,"(18.188000, 54.269800)"
Dhofar 169,243,"(19.051390, 54.561940)"
Dhofar 1690,701,"(18.203580, 54.295020)"
Dhofar 1691,106,"(18.211350, 54.299500)"
Dhofar 1692,1568,"(18.388630, 54.541100)"
Dhofar 1693,1049,"(18.462530, 54.653350)"
Dhofar 1694,740,"(19.109780, 54.816970)"
Dhofar 1695,326,"(19.095780, 54.801880)"
Dhofar 1696,936,"(19.143330, 54.655830)"
Dhofar 1697,387,"(19.062520, 54.559530)"
Dhofar 1698,450,"(18.927830, 54.606230)"
Dhofar 1699,172,"(18.948950, 54.680080)"
Dhofar 170,176,"(19.053890, 54.567220)"
Dhofar 1700,39000,"(18.866220, 54.679670)"
Dhofar 1701,984,"(18.520650, 54.479850)"
Dhofar 1702,537,"(18.728920, 54.372550)"
Dhofar 1703,193,"(19.114530, 54.813570)"
Dhofar 1704,128,"(18.914550, 54.472930)"
Dhofar 1705,319,"(19.035820, 54.507450)"
Dhofar 1706,589,"(19.015080, 54.579030)"
Dhofar 1707,463,"(18.874030, 54.480700)"
Dhofar 1708,124,"(18.991780, 54.595480)"
Dhofar 1710,800,"(18.617980, 54.277750)"
Dhofar 1711,295,"(18.650730, 54.699920)"
Dhofar 1712,240,"(18.296580, 54.149830)"
Dhofar 1713,73,"(18.651470, 54.698530)"
Dhofar 1714,562,"(18.980730, 54.648600)"
Dhofar 1715,81,"(19.055020, 54.544720)"
Dhofar 1716,1540,"(18.910250, 54.631850)"
Dhofar 1717,211,"(19.081880, 54.714720)"
Dhofar 1718,75,"(19.138730, 54.661880)"
Dhofar 1719,461,"(18.977520, 54.629230)"
Dhofar 172,67,"(19.062780, 54.559440)"
Dhofar 1720,168,"(19.121320, 54.823750)"
Dhofar 1721,238,"(18.954350, 54.636900)"
Dhofar 1722,25000,"(19.081880, 54.714720)"
Dhofar 1723,536,"(18.989550, 54.683670)"
Dhofar 1724,1768,"(19.300850, 54.833330)"
Dhofar 1725,263,"(19.186870, 54.881700)"
Dhofar 1726,1050,"(19.182300, 54.887550)"
Dhofar 1727,453,"(19.139520, 54.665580)"
Dhofar 1728,1140,"(18.984200, 54.645070)"
Dhofar 1729,482,"(19.003180, 54.611000)"
Dhofar 173,293,"(19.062780, 54.560000)"
Dhofar 1730,1763,"(18.492220, 54.181400)"
Dhofar 1731,2222,"(18.570530, 54.164000)"
Dhofar 1732,782,"(19.115820, 54.596030)"
Dhofar 1733,7700,"(19.158230, 54.886680)"
Dhofar 1738,853,"(19.326940, 54.906940)"
Dhofar 1739,130,"(19.176940, 54.894170)"
Dhofar 174,313,"(19.063890, 54.563890)"
Dhofar 1740,31,"(19.164170, 54.881670)"
Dhofar 1741,66,"(19.107780, 54.821670)"
Dhofar 1742,4,"(19.108890, 54.827220)"
Dhofar 1743,84,"(19.060830, 54.879440)"
Dhofar 1744,1414,"(19.149720, 54.585830)"
Dhofar 1745,12,"(19.078330, 54.505560)"
Dhofar 1746,19,"(19.056670, 54.512500)"
Dhofar 1747,81,"(19.055560, 54.509170)"
Dhofar 1748,34,"(19.076110, 54.575560)"
Dhofar 1749,35,"(19.160830, 54.756670)"
Dhofar 175,173,"(19.062500, 54.552220)"
Dhofar 1750,123,"(19.186390, 54.614720)"
Dhofar 1751,21,"(19.202500, 54.587500)"
Dhofar 1752,88,"(19.237220, 54.745830)"
Dhofar 1753,22,"(19.245280, 54.462780)"
Dhofar 1754,580,"(19.393000, 54.554170)"
Dhofar 176,312,"(19.069170, 54.534720)"
Dhofar 177,22,"(19.066670, 54.532500)"
Dhofar 178,234,"(19.092220, 54.503890)"
Dhofar 179,193,"(18.920560, 54.616390)"
Dhofar 180,272,"(18.927220, 54.579720)"
Dhofar 181,239,"(18.929720, 54.571390)"
Dhofar 182,255,"(18.938330, 54.501330)"
Dhofar 183,1606,"(18.847220, 54.473060)"
Dhofar 184,67,"(18.856390, 54.475280)"
Dhofar 185,516,"(18.872220, 54.478610)"
Dhofar 186,146,"(18.883060, 54.465830)"
Dhofar 187,3049,"(18.859720, 54.470560)"
Dhofar 188,234,"(18.211670, 54.148330)"
Dhofar 189,120,"(18.341670, 54.195000)"
Dhofar 190,90,"(18.388330, 54.295000)"
Dhofar 191,226,"(18.405000, 54.245000)"
Dhofar 192,4779,"(18.261670, 54.243330)"
Dhofar 193,582,"(18.686670, 54.418330)"
Dhofar 194,134,"(18.836670, 54.270000)"
Dhofar 195,2384,"(18.263330, 54.246670)"
Dhofar 196,584,"(18.183330, 54.145000)"
Dhofar 197,175,"(18.388330, 54.266670)"
Dhofar 198,828,"(18.713330, 54.108330)"
Dhofar 199,160,"(18.393330, 54.166670)"
Dhofar 200,1816,"(19.303330, 54.598330)"
Dhofar 201,139,"(18.393330, 54.166670)"
Dhofar 202,1178,"(19.416670, 54.756670)"
Dhofar 203,274,"(18.183330, 54.123330)"
Dhofar 204,41,"(19.418330, 54.763330)"
Dhofar 205,20,"(19.393330, 54.780000)"
Dhofar 206,190,"(18.238330, 54.135000)"
Dhofar 207,500,"(18.263330, 54.068330)"
Dhofar 208,12,"(18.801670, 54.290000)"
Dhofar 209,111,"(18.493330, 54.251670)"
Dhofar 210,272,"(18.758330, 54.426670)"
Dhofar 211,255,"(18.256670, 54.181670)"
Dhofar 212,1456,"(18.860000, 54.831670)"
Dhofar 213,256,"(18.525000, 54.116670)"
Dhofar 214,11,"(19.043330, 54.555000)"
Dhofar 215,86,"(18.535000, 54.321670)"
Dhofar 216,70,"(18.598330, 54.321670)"
Dhofar 217,602,"(18.746670, 54.565000)"
Dhofar 218,570,"(18.685000, 54.406670)"
Dhofar 219,99,"(18.140000, 54.161670)"
Dhofar 220,132,"(18.485000, 54.315000)"
Dhofar 221,3536,"(18.251670, 54.198330)"
Dhofar 222,5680,"(18.693330, 54.370000)"
Dhofar 223,1708,"(18.266670, 54.096670)"
Dhofar 224,14974,"(19.158330, 54.573330)"
Dhofar 225,90,"(18.360000, 54.188330)"
Dhofar 226,62,"(19.111670, 54.828330)"
Dhofar 227,50,"(18.990000, 54.600000)"
Dhofar 228,3452,"(19.150000, 54.583330)"
Dhofar 229,716,"(19.056670, 54.575000)"
Dhofar 230,144,"(18.998330, 54.585000)"
Dhofar 231,1780,"(18.791670, 54.576670)"
Dhofar 232,128,"(18.435000, 54.105000)"
Dhofar 233,93,"(18.450000, 54.103330)"
Dhofar 234,98,"(19.070000, 54.456670)"
Dhofar 235,394,"(19.005000, 54.550000)"
Dhofar 236,320,"(19.028330, 54.548330)"
Dhofar 237,206,"(19.176670, 54.625000)"
Dhofar 239,4950,"(18.423500, 54.480000)"
Dhofar 240,83,"(19.148000, 54.777830)"
Dhofar 241,452,"(18.651830, 54.773830)"
Dhofar 242,58,"(18.627170, 54.750830)"
Dhofar 243,185,"(18.623170, 54.728500)"
Dhofar 244,178,"(18.630500, 54.732830)"
Dhofar 245,1075,"(18.663000, 54.711830)"
Dhofar 246,50,"(18.669330, 54.728000)"
Dhofar 247,98,"(18.985670, 54.600830)"
Dhofar 248,38,"(18.985830, 54.600670)"
Dhofar 249,37,"(18.986670, 54.602170)"
Dhofar 250,586,"(19.122500, 54.673330)"
Dhofar 251,13,"(19.301500, 54.735000)"
Dhofar 252,64,"(18.598500, 54.033830)"
Dhofar 253,413,"(18.624670, 54.096670)"
Dhofar 254,192,"(18.703170, 54.286670)"
Dhofar 255,11,"(18.745000, 54.385170)"
Dhofar 256,1465,"(18.745830, 54.384330)"
Dhofar 257,2520,"(18.746670, 54.383330)"
Dhofar 258,110,"(18.709330, 54.303000)"
Dhofar 259,49,"(18.786830, 54.251670)"
Dhofar 260,6574,"(18.786500, 54.250500)"
Dhofar 261,788,"(19.153830, 54.719330)"
Dhofar 262,292,"(18.277330, 54.255330)"
Dhofar 263,1698,"(18.345830, 54.400670)"
Dhofar 264,474,"(18.347000, 54.415500)"
Dhofar 265,324,"(18.602830, 54.455170)"
Dhofar 266,86,"(18.757830, 54.436500)"
Dhofar 267,1910,"(18.326670, 54.218330)"
Dhofar 268,124,"(18.901670, 54.561670)"
Dhofar 269,2006,"(19.038330, 54.515000)"
Dhofar 270,50,"(18.328330, 54.151670)"
Dhofar 271,1335,"(18.265000, 54.045000)"
Dhofar 272,2073,"(18.438330, 54.118330)"
Dhofar 273,2085,"(18.375000, 54.148330)"
Dhofar 274,2475,"(18.063330, 54.050000)"
Dhofar 275,353,"(19.151670, 54.775000)"
Dhofar 276,7285,"(18.650000, 54.135000)"
Dhofar 277,1930,"(18.348330, 54.336670)"
Dhofar 278,1666,"(18.668330, 54.666670)"
Dhofar 279,1932,"(18.265000, 54.338330)"
Dhofar 280,251,"(19.326670, 54.783330)"
Dhofar 281,4936,"(18.575000, 54.298330)"
Dhofar 282,928,"(19.033330, 54.628330)"
Dhofar 283,1788,"(18.440000, 54.018330)"
Dhofar 284,1337,"(18.463330, 54.030000)"
Dhofar 285,216,"(18.433330, 54.170000)"
Dhofar 286,1453,"(18.126670, 54.115000)"
Dhofar 287,154,"(18.403330, 54.146670)"
Dhofar 288,996,"(18.493330, 54.133330)"
Dhofar 289,1180,"(18.333330, 54.193330)"
Dhofar 290,62,"(19.315000, 54.843330)"
Dhofar 291,1164,"(18.248330, 54.103330)"
Dhofar 292,804,"(19.368330, 54.680000)"
Dhofar 293,2366,"(19.106670, 54.858330)"
Dhofar 294,5988,"(18.613330, 54.500000)"
Dhofar 295,48,"(19.208330, 54.640000)"
Dhofar 296,1412,"(19.328330, 54.700000)"
Dhofar 297,698,"(18.471670, 54.153330)"
Dhofar 298,677,"(18.176670, 54.263330)"
Dhofar 299,410,"(18.546670, 54.310000)"
Dhofar 300,624,"(18.403330, 54.143330)"
Dhofar 301,9,"(18.401670, 54.148330)"
Dhofar 302,4,"(19.326670, 54.785000)"
Dhofar 303,4,"(19.330000, 54.783330)"
Dhofar 304,10,"(18.403330, 54.150000)"
Dhofar 305,34,"(19.330000, 54.783330)"
Dhofar 306,13,"(19.328330, 54.785000)"
Dhofar 307,50,"(19.328330, 54.781670)"
Dhofar 308,2,"(18.403330, 54.150000)"
Dhofar 309,81,"(19.326670, 54.788330)"
Dhofar 310,11,"(19.328330, 54.785000)"
Dhofar 311,4,"(19.326670, 54.783330)"
Dhofar 312,354,"(18.988330, 54.605000)"
Dhofar 313,200,"(18.451670, 54.031670)"
Dhofar 314,501,"(19.318330, 54.730000)"
Dhofar 315,411,"(19.353330, 54.825000)"
Dhofar 316,3215,"(19.155000, 54.786670)"
Dhofar 317,2897,"(18.588330, 54.018330)"
Dhofar 318,522,"(18.180000, 54.175000)"
Dhofar 319,416,"(18.570000, 54.286670)"
Dhofar 320,413,"(19.038330, 54.611670)"
Dhofar 321,594,"(18.348330, 54.286670)"
Dhofar 322,658,"(18.336670, 54.221670)"
Dhofar 323,688,"(18.218330, 54.106670)"
Dhofar 324,448,"(18.903330, 54.578330)"
Dhofar 325,584,"(18.481670, 54.135000)"
Dhofar 326,618,"(19.033330, 54.515000)"
Dhofar 327,421,"(18.388330, 54.133330)"
Dhofar 328,536,"(18.980000, 54.405000)"
Dhofar 329,475,"(18.918330, 54.578330)"
Dhofar 330,156,"(19.381670, 54.593330)"
Dhofar 331,946,"(18.141670, 54.086670)"
Dhofar 332,794,"(18.268330, 54.121670)"
Dhofar 333,410,"(18.375000, 54.138330)"
Dhofar 334,973,"(19.056670, 54.698330)"
Dhofar 335,555,"(18.973330, 54.688330)"
Dhofar 336,468,"(18.755000, 54.580000)"
Dhofar 337,580,"(18.726670, 54.675000)"
Dhofar 338,1140,"(18.761670, 54.703330)"
Dhofar 339,94,"(18.640000, 54.560000)"
Dhofar 340,236,"(18.888330, 54.756670)"
Dhofar 341,116,"(19.328330, 54.705000)"
Dhofar 342,58,"(18.328330, 54.035000)"
Dhofar 343,62,"(18.345000, 54.196670)"
Dhofar 344,76,"(18.443330, 54.216670)"
Dhofar 345,31,"(19.116670, 54.808330)"
Dhofar 346,1345,"(18.915000, 54.600000)"
Dhofar 347,62,"(18.573330, 54.456670)"
Dhofar 348,419,"(18.483330, 54.325000)"
Dhofar 349,412,"(18.455000, 54.280000)"
Dhofar 350,112,"(18.821670, 54.226670)"
Dhofar 351,258,"(19.239020, 54.825630)"
Dhofar 352,207,"(18.674370, 54.541800)"
Dhofar 353,666,"(18.667600, 54.604920)"
Dhofar 354,810,"(18.659170, 54.729600)"
Dhofar 355,641,"(18.637750, 54.730050)"
Dhofar 356,1372,"(18.637680, 54.731320)"
Dhofar 357,308,"(18.635380, 54.731050)"
Dhofar 358,185,"(18.611570, 54.734200)"
Dhofar 359,569,"(18.430850, 54.456380)"
Dhofar 360,15300,"(19.040020, 54.783830)"
Dhofar 361,1715,"(19.032720, 54.857480)"
Dhofar 362,615,"(19.034520, 54.846020)"
Dhofar 364,307,"(19.091320, 54.794650)"
Dhofar 365,4623,"(19.091380, 54.794830)"
Dhofar 366,450,"(18.999680, 54.911480)"
Dhofar 367,147,"(19.057730, 54.825130)"
Dhofar 368,105,"(19.073480, 54.805330)"
Dhofar 369,269,"(19.079050, 54.793950)"
Dhofar 370,336,"(19.078280, 54.787120)"
Dhofar 371,852,"(18.547980, 54.676920)"
Dhofar 372,246,"(18.652330, 54.734620)"
Dhofar 373,383,"(18.652120, 54.745580)"
Dhofar 374,424,"(18.701820, 54.792280)"
Dhofar 375,6933,"(19.038220, 54.794230)"
Dhofar 376,370,"(19.091870, 54.795950)"
Dhofar 377,93,"(19.120630, 54.823430)"
Dhofar 378,15,"(18.158330, 54.113330)"
Dhofar 379,25000,"(19.008400, 54.769130)"
Dhofar 380,111,"(19.107450, 54.809670)"
Dhofar 381,680,"(19.106330, 54.817350)"
Dhofar 382,151,"(19.106330, 54.817330)"
Dhofar 383,139,"(19.107300, 54.817520)"
Dhofar 384,49,"(19.106770, 54.820850)"
Dhofar 385,480,"(19.112030, 54.805900)"
Dhofar 386,138,"(19.103220, 54.794330)"
Dhofar 387,491,"(19.105930, 54.810280)"
Dhofar 388,126,"(19.108950, 54.814520)"
Dhofar 389,160,"(19.108470, 54.799450)"
Dhofar 390,54,"(19.133530, 54.809950)"
Dhofar 391,284,"(19.107420, 54.819500)"
Dhofar 392,131,"(19.133330, 54.818270)"
Dhofar 393,5000,"(19.139220, 54.833120)"
Dhofar 394,1057,"(19.036120, 54.888050)"
Dhofar 395,1168,"(19.036420, 54.885350)"
Dhofar 396,1033,"(19.035850, 54.885230)"
Dhofar 397,1176,"(19.038800, 54.881970)"
