name,mass (g),GeoLocation
Bori,8600,"(21.950000, 78.033330)"
Boriskino,1342,"(54.233330, 52.483330)"
Borkut,7000,"(48.150000, 24.283330)"
Borodino,500,"(55.466670, 35.866670)"
Botschetschki,614,"(51.333330, 33.883330)"
Boumdeid (2003),190,"(17.710670, -11.371500)"
Boumdeid (2011),3599,"(17.174930, -11.341330)"
Bovedy,5460,"(54.566670, -6.333330)"
Bradford Woods,762,"(40.500000, -80.083330)"
Braunau,39000,"(50.600000, 16.300000)"
Breitscheid,1500,"(50.666940, 8.183610)"
Bremervörde,7250,"(53.400000, 9.100000)"
Brient,219,"(52.133330, 59.316670)"
Bruderheim,303000,"(53.900000, -112.883330)"
Bukhara,5300,"(39.779780, 64.600350)"
Bulls Run,2250,
Bunburra Rockhole,324,"(-31.350000, 129.190000)"
Bununu,357,"(10.016670, 9.583330)"
Bur-Gheluai,120000,"(5.000000, 48.000000)"
Burnwell,1504,"(37.621940, -82.237220)"
Bursa,25000,"(40.200000, 29.233330)"
Buschhof,5000,"(46.450000, 25.783330)"
Bustee,1500,"(26.783330, 82.833330)"
Butsura,29000,"(27.083330, 84.083330)"
Buzzard Coulee,41000,"(52.996000, -109.848170)"
Cabezo de Mayo,25000,"(37.983330, -1.166670)"
Cabin Creek,48500,"(35.500000, -93.500000)"
Cacak,212,"(43.838890, 20.333330)"
Cali,478,"(3.405000, -76.510000)"
Calivo,2400,"(11.750000, 122.333330)"
Campos Sales,23680,"(-7.033330, -40.166670)"
Çanakkale,4000,"(39.800000, 26.600000)"
Cañellas,945,"(41.250000, 1.666670)"
Cangas de Onis,34000,"(43.383330, -5.150000)"
Canon City,1400,"(38.470280, -105.241390)"
Cape Girardeau,2300,"(37.266670, -89.583330)"
Capilla del Monte,750,"(-30.883330, -64.550000)"
Carancas,342,"(-16.664440, -69.043890)"
Caratash,8,"(38.500000, 27.000000)"
Castalia,7300,"(36.083330, -78.066670)"
Castel Berardenga,,"(43.350000, 11.500000)"
Castine,94,"(44.383330, -68.750000)"
Castrovillari,15000,"(39.800000, 16.200000)"
Caswell County,1360,"(36.500000, -79.250000)"
Ceniceros,1025,"(26.466670, -105.233330)"
Centerville,46,"(43.200000, -96.916670)"
Cereseto,6460,"(45.083330, 8.300000)"
Chadong,3700,"(28.533330, 109.316670)"
Chail,1,"(25.366670, 81.666670)"
Chainpur,8200,"(25.850000, 83.483330)"
Chajari,18300,"(-30.783330, -58.050000)"
Chandakapur,8800,"(20.266670, 76.016670)"
Chandpur,1100,"(27.283330, 79.050000)"
Changde,1810,"(29.083330, 111.750000)"
Chantonnay,31500,"(46.683330, 1.050000)"
Charlotte,4300,"(36.166670, -87.333330)"
Charsonville,27000,"(47.933330, 1.566670)"
Charwallas,12000,"(29.483330, 75.500000)"
Chassigny,4000,"(47.716670, 5.366670)"
Château-Renard,30000,"(47.933330, 2.916670)"
Chaves,2945,"(41.933330, -7.466670)"
Chela,2936,"(-3.666670, 32.500000)"
Chelyabinsk,100000,"(54.816670, 61.116670)"
Chergach ,100000,"(23.696390, -5.014720)"
Chernyi Bor,6000,"(53.700000, 30.100000)"
Cherokee Springs,8400,"(35.033330, -81.883330)"
Chervettaz,705,"(46.550000, 6.816670)"
Chervony Kut,1700,"(50.833330, 34.000000)"
Chetrinahatti,72,"(14.500000, 76.500000)"
Chiang Khan,367,"(17.900000, 101.633330)"
Chicora,303,"(40.933330, -79.733330)"
Chisenga,3920,"(-10.059440, 33.395000)"
Chitado,,"(-17.350000, 13.966670)"
Chitenay,4000,"(47.470830, 0.976670)"
Cilimus,1600,"(-6.950000, 108.100000)"
Claxton,1455,"(32.102500, -81.872780)"
Clohars,49,
Colby (Wisconsin),104000,"(44.900000, -90.283330)"
Cold Bokkeveld,5200,"(-33.133330, 19.383330)"
Coleman,469,"(43.761110, -84.507780)"
Collescipoli,5000,"(42.533330, 12.616670)"
Conquista,20350,"(-19.850000, -47.550000)"
Cosina,1200,"(21.166670, -100.866670)"
Cranganore,1460,"(10.200000, 76.266670)"
Crescent,78,"(35.950000, -97.583330)"
Cronstad,3650,"(-27.700000, 27.300000)"
Cross Roads,167,"(35.633330, -78.133330)"
Crumlin,4255,"(54.616670, -6.216670)"
Cumberland Falls,17000,"(36.833330, -84.350000)"
Cynthiana,6000,"(38.400000, -84.250000)"
Dahmani,18000,"(35.616670, 8.833330)"
Dandapur,5650,"(26.916670, 83.966670)"
Daniel's Kuil,1064,"(-28.200000, 24.566670)"
Danville,2000,"(34.400000, -87.066670)"
Darmstadt,100,"(49.866670, 8.650000)"
Dashoguz,7000,"(41.984440, 59.685000)"
Daule,6580,"(-1.870890, -79.957560)"
De Cewsville,340,"(43.000000, -80.000000)"
Deal,28,"(40.250000, -74.000000)"
Delhi,1,"(28.566670, 77.250000)"
Demina,16400,"(51.466670, 84.766670)"
Denver,230,"(39.782500, -104.930560)"
Dergaon,12500,"(26.683330, 93.866670)"
Desuri,25400,"(25.733330, 73.616670)"
Devgaon,12000,"(19.000000, 81.000000)"
Devri-Khera,1140,"(24.225000, 76.525000)"
Dhajala,45000,"(22.377780, 71.427220)"
Dharwar,1800,"(14.883330, 75.600000)"
Dhurmsala,32000,"(32.233330, 76.466670)"
Didim,3396,"(37.351720, 27.329970)"
Diep River,1000,"(-33.750000, 18.566670)"
Distrito Quebracho,400,"(-31.883330, -60.466670)"
Djati-Pengilon,166000,"(-7.500000, 111.500000)"
Djermaia,3950,"(12.733330, 15.050000)"
Djoumine,10000,"(36.950000, 9.550000)"
Dokachi,3840,"(23.500000, 90.333330)"
Dolgovoli,1600,"(50.750000, 25.300000)"
Domanitch,438,"(40.000000, 29.000000)"
Dong Ujimqin Qi,128800,"(45.500000, 119.033330)"
Donga Kohrod,230,"(21.866670, 82.450000)"
Dongtai,5500,"(32.916670, 120.783330)"
Doroninsk,3891,"(51.200000, 112.300000)"
Dosso,1250,"(13.050000, 3.166670)"
Douar Mghila,1161,"(32.333330, -6.300000)"
Dowa,642,"(-13.666670, 33.916670)"
Drake Creek,5000,"(36.400000, -86.500000)"
Dresden (Ontario),47700,"(42.520000, -82.260000)"
Dubrovnik,1900,"(42.458330, 18.441670)"
Dunbogan,30,"(-31.666670, 152.833330)"
Dundrum,2270,"(52.550000, -8.033330)"
Dunhua,,"(43.333330, 128.250000)"
Durala,13200,"(30.300000, 76.633330)"
Duruma,577,"(-4.000000, 39.500000)"
Duwun,2117,"(33.433330, 127.266670)"
Dwaleni,3230,"(-27.200000, 31.316670)"
Dyalpur,300,"(26.250000, 82.000000)"
Dyarrl Island,188,"(-3.000000, 151.000000)"
Eagle,10000,"(40.781670, -96.471670)"
Ehole,2400,"(-17.300000, 15.833330)"
Eichstädt,3000,"(48.900000, 11.216670)"
Ekeby,3336,"(56.033330, 13.000000)"
Ekh Khera,840,"(28.266670, 78.783330)"
El Idrissia,10000,"(34.416670, 3.250000)"
El Paso de Aguila,17226,"(25.370000, -97.370000)"
El Tigre,5000,"(19.967220, -103.051670)"
Elbert,681,"(39.246670, -104.588170)"
Elbogen,107000,"(50.183330, 12.733330)"
Elenovka,54640,"(47.833330, 37.666670)"
Ellemeet,1470,"(51.750000, 4.000000)"
Emmaville,127,"(-29.466670, 151.616670)"
Enshi,8000,"(30.300000, 109.500000)"
Ensisheim,127000,"(47.866670, 7.350000)"
Épinal,277,"(48.183330, 6.466670)"
Erakot,113,"(19.033330, 81.891670)"
Erevan,107,"(40.300000, 44.500000)"
Ergheo,20000,"(1.166670, 44.166670)"
Erxleben,2250,"(52.216670, 11.250000)"
Esnandes,1500,"(46.250000, -1.100000)"
Essebi,500,"(2.883330, 30.833330)"
Estherville,320000,"(43.416670, -94.833330)"
Farmington,89400,"(39.750000, -97.033330)"
Farmville,56000,"(35.550000, -77.533330)"
Favars,1500,"(44.383330, 2.816670)"
Fayetteville,2360,"(36.050000, -94.166670)"
Feid Chair,380,"(36.883330, 8.450000)"
Felix,3200,"(32.533330, -87.166670)"
Fenghsien-Ku,82,"(34.600000, 116.750000)"
Ferguson,220,"(36.100000, -81.416670)"
Fermo,10200,"(43.181110, 13.753330)"
Fisher,17600,"(47.816670, -96.850000)"
Florence,3640,"(30.833330, -97.766670)"
Forest City,152000,"(43.250000, -93.666670)"
Forest Vale,26000,"(-33.350000, 146.858330)"
Forksville,6067,"(36.783330, -78.083330)"
Forsbach,240,"(50.950000, 7.316670)"
Forsyth,16300,"(33.016670, -83.966670)"
Fort Flatters,,"(28.250000, 7.000000)"
Frankfort (stone),650,"(34.483330, -87.833330)"
Fuhe,23000,"(31.475560, 113.566940)"
Fukutomi,11620,"(33.183330, 130.200000)"
Fünen,,"(55.333330, 10.333330)"
